repo,sha,author,date,message,additions,deletions,total_changes
jlevy/the-art-of-command-line,725fddb2fc0fa8b49362e676e6c7d71dfb9b8b75,matt-kita,2020-03-25T16:15:19Z,"complete, most up-to-date translation into Polish language",641,17,658
jlevy/the-art-of-command-line,f6339398dc6113cb3b065b0e707ea844ae38f7e8,Anthony Tesoriero,2019-10-30T20:20:38Z,Update README.md,1,1,2
jlevy/the-art-of-command-line,f119f46b0f3d4d2237e2562e30d9b65bb2e5b535,Eric Guirbal,2019-07-31T14:35:13Z,fr: Synchronize the translation,14,7,21
jlevy/the-art-of-command-line,84482aa24dd6c3af62a2f64977e6cd22d918684f,Joshua Levy,2019-05-27T22:27:37Z,"One-liner to show colored, normalized JSON diffs.",5,0,5
jlevy/the-art-of-command-line,3d8afef22ed748be5cae1eb652e81fdab71ab927,Joshua Levy,2019-05-23T17:14:40Z,Note about soliciting an author.,1,4,5
jlevy/the-art-of-command-line,2e5608865fcbecb055dd6febf89d3c9614d7e5c7,Joshua Levy,2019-03-17T03:55:47Z,Merge pull request #580 from reiscigit/master  zh-Hant: Update iconv and uconv example,6,2,8
jlevy/the-art-of-command-line,435a1f6644164d1fc89933226d48177cc86e9608,reiscigit,2018-10-19T16:03:40Z,zh-Hant: Update iconv and uconv example,6,2,8
jlevy/the-art-of-command-line,03e57f04379b68b95f5e74edff47e868b20a02b6,Joshua Levy,2018-10-10T23:32:08Z,Merge pull request #579 from randombenj/feature/add-cheat-sheet  Add cheat sheet to commands,4,1,5
jlevy/the-art-of-command-line,cec920ca5b3bba546c08aab79c03760c7ee262a8,Joshua Levy,2018-10-10T23:31:41Z,Adjust formatting on cheat.sh,4,1,5
jlevy/the-art-of-command-line,6f12627e92d68cd89f9bf4b5f12392ac491f8948,Benj Fassbind,2018-10-10T06:26:45Z,Add cheat sheet to commands,1,1,2
jlevy/the-art-of-command-line,c5e55f981ffe9d1ae6357d6b1a6f930d181b737a,Joshua Levy,2018-10-03T21:29:19Z,Merge pull request #574 from wyattscarpenter/patch-1  copy-editing around mention of pipefail,1,1,2
jlevy/the-art-of-command-line,2bcfcaa455abaff7886771508a66b778e6566c04,wyattscarpenter,2018-09-15T03:31:42Z,copy-editing around mention of pipefail,1,1,2
jlevy/the-art-of-command-line,35daaa4e1bdf0110f11edc72aa6cf4e934c4b705,Joshua Levy,2018-08-19T01:07:58Z,Merge pull request #573 from jlevy/update-authors  Update authors.,160,86,246
jlevy/the-art-of-command-line,70d292f3bea67f462e35cc78686bd060978f5994,Joshua Levy,2018-08-19T00:59:48Z,Group maintainers/translators/contributors.,85,37,122
jlevy/the-art-of-command-line,399af122b9322baa9f9e19b8ce3290b1a5d9de55,Joshua Levy,2018-08-19T00:48:53Z,Update authors.,94,68,162
